,author,title,text,date,text_type
0,Alberto Caeiro,O amor é uma companhia,"
O amor é uma companhia.
Já não sei andar só pelos caminhos,
Porque já não posso andar só.
Um pensamento visível faz-me andar mais depressa
E ver menos, e ao mesmo tempo gostar bem de ir vendo tudo.
Mesmo a ausência dela é uma coisa que está comigo.
E eu gosto tanto dela que não sei como a desejar.

Se a não vejo, imagino-a e sou forte como as árvores altas.
Mas se a vejo tremo, não sei o que é feito do que sinto na ausência dela.
Todo eu sou qualquer força que me abandona.
Toda a realidade olha para mim como um girassol com a cara dela no meio.
",10-7-1930,poem
1,Ricardo Reis,Em Ceres anoitece.,"
Em Ceres anoitece.
Nos píncaros ainda
Faz luz.

Sinto-me tão grande
Nesta hora solene
E vã

Que, assim como há deuses
Dos campos, das flores
Das searas,


Agora eu quisera
Que um deus existisse
De mim.
",17-9-1914,poem
2,Fernando Pessoa,Pálida sombra esvoaça,"
Pálida sombra esvoaça
Como só fingindo ser
Por entre o vento que passa
E altas nuvens a correr.

Mal se sabe se existiu,
Se foi erro tê-la visto,
Sombra de sombra fluiu
Entre tudo de onde disto.

Nem me resta uma memória.
É como se alguém confuso
Se não lembrasse da história.
",1932,poem
3,Fernando Pessoa,Teus olhos poisam no chão,"
Teus olhos poisam no chão

Teus olhos poisam no chão
Para não me olhar de frente.
Tens vontade de sorrir
Ou de rir? É tão diferente!
",s.d.,poem
4,Ricardo Reis,O mar jaz. Gemem em segredo os ventos [2],"
O mar jaz. Gemem em segredo os ventos
Em Éolo cativos,
Apenas com as pontas do tridente
Franze as águas Neptuno,
E a praia é alva e cheia de pequenos
Brilhos sob o sol claro.
Eu quisera, Neera, que o momento,
Que ora vemos, tivesse
O sentido preciso de uma frase
Visível nalgum livro.
Assim verias que certeza a minha
Quando sem te olhar digo
Que as cousas são o diálogo que os deuses
Brincam tendo connosco.
Se esta breve ciência te coubesse,
Nunca mais julgarias
Ou solene ou ligeira a clara vida,
Mas nem leve nem grave,
Nem falsa ou certa, mas assim, divina
E plácida, e mais nada.
",6-10-1914,poem
5,Fernando Pessoa,"The distinguishing characteristic of our age,","
The distinguishing characteristic of our age, if it be put with such conciseness as may risk being misunderstood, yet shall escape being obscure, is the decline of the ascete.
By many irreligious people, who do not know what an ascete essentially is, and by some religious people, who happen indeed to know it, the definition thus posited, will be a matter for something like amusement. But it is very little amusing, except it be untrue. And it is not untrue. The point is that it be understood.
Whether we be religious or not, we are religious. Whether we have or not an opinion of the universe, we certainly have one. For it lies in the nature of thought that an opinion on the substance of things (that is to say, a religious opinion) is not susceptible of absolute negativeness
An opinion on the substance and generality of things is not susceptible of absolute negativeness. I may have no opinion at all of mathematics, and that will be indeed an indifference of mine to mathematics. I may have no opinion of my very self; that is an almost incredible modesty, but, if attainable, is certainly simply an indifference to myself. But I cannot hold no opinion of the substance and generality of things and be by virtue of that absence of opinion taken to be indifferent to the universe. For, as the universe is everything, as the substance and generality of things, excludes nothing, I cannot hold an opinion excluding that.
Now, as all fundamental opinions are religious, it is not surprising that we have to take from religion the names or terms with which we may best describe any general attitude or operation of the religious mind. So, there is nothing wrong in applying the definition, that the present age is best described as the decline of the ascete, to the sum of matters socially occurring at present. It remains to see whether the definition be true.
In any religious attitude, in any attitude before the universe, two elements stand: the universe and the individual man who holds such or such an opinion. Now before that universe, that man can have one of two attitudes, and no third: he can strive to subordinate the universal forces, in so far as he feels them in himself, to himself; and he can agree to submit, to deliver himself to those forces. In the first case, he is an ascete; in the second, he is a mystic.
The common opinion, which is of course, wrong is that the Christian religion was eminently ascetic. Mr. Chesterton has denied this, and he is quite right. He has denied it because he is a Christian and thinks it right that ascetics should not be. l am glad to deny it because I am anti-Christian and because I think asceticism should be. The real ascetic religion was paganism, where only the sybils and the lower religionists — the rioters of the Dyonisiac passage, the (...)
Tennyson put all paganism into one verse: «self-knowledge, self-reverence, self-control», the verse which containes all the intellectual kalendar of asceticism.
All humanitarianism, which gives up the individual to the comunity, (...) is mysticism, and for women. Asceticism is for men. Women have only self-control by force of social pressure; individually they follow their sexual nature which is to belong to, to be the possession of someone, and not to possess. Not till they have children can women sanely feel that they possess; therefore is it that a mother's love has an obscure sexual element, a carnal arrière goût, which is due to its being a kind of mental sexual inversion.
That both asceticism and mysticism are illusions might be affirmed with certainty, if they stood for philosophic theories, and not, as they do, for modes of action. Being modes of action, they are not susceptible of being illusions. They are merely the male and the female attitude towards the world. When the male attitude predominates, the world moves forward, when the female attitude becomes common, the world recedes. This principle — the basis of which lies at the root, in the heart, or, to speak symbolically in the very rose, of occultism — cannot be explained so as to be exactly understood in its true fundaments.
The old occultists, who, contrary to the modern mimics of them, had of woman very peculiar opinion. (...)
The delivery of intellect to sensation, the musical attitude of the mind, the sense thant we are part of something, the devotion of the soul social service (...) These are mysticisms.
It will be said that, no less than the mystic, does the ascete deliver himself to something other than he; that, if he practises self-control, it is not for the pleasure of it (at best, a bitter one) but for some purpose outside his individuality. That, however, is not the point; the ascete may deliver his reason, he delivers nothing else. The mystic delivers his reason, not directly, but indirectly, not to God, but to his sensations, for instance, and it is these that are in turn given over to God.
",s.d.,prose
6,Bernardo Soares,Tudo é absurdo.,"
Tudo é absurdo. Este empenha a vida em ganhar dinheiro que guarda, e nem tem filhos a quem o deixe nem esperança que um céu lhe reserve uma transcendência desse dinheiro. Aquele empenha o esforço em ganhar fama, para depois de morto, e não crê naquela sobrevivência que lhe dê o conhecimento da fama. Esse outro gasta-se na procura de coisas de que realmente não gosta. Mais adiante, há um que(...)  Um lê para saber, inutilmente. Outro goza para viver, inutilmente.  Vou num carro eléctrico, e estou reparando lentamente, conforme é meu costume, em todos os pormenores das pessoas que vão adiante de mim. Para mim os pormenores são coisas, vozes, letras. Neste vestido da rapariga que vai em minha frente decomponho o vestido em o estofo de que se compõe, o trabalho com que o fizeram - pois que o vejo vestido e não estofo - e o bordado leve que orla a parte que contorna o pescoço separa-se-me em retrós de seda, com que se o bordou, e o trabalho que houve de o bordar. E imediatamente, como num livro primário de economia política, desdobram-se diante de mim as fábricas e os trabalhos - a fábrica onde se fez o tecido: a fábrica onde se fez o retrós, de um tom mais escuro, com que se orla de coisinhas retorcidas o seu lugar junto do pescoço; e vejo as secções das fábricas, as máquinas, os operários, as costureiras, meus olhos virados para dentro penetram nos escritórios, vejo os gerentes procurar estar sossegados, sigo, nos livros, a contabilidade de tudo; mas não é só isto: vejo, para além, as vidas domésticas dos que vivem a sua vida social nessas fábricas e nesses escritórios... Todo o mundo se me desenrola aos olhos só porque tenho diante de mim, abaixo de um pescoço moreno, que de outro lado tem não sei que cara, um orlar irregular regular verde-escuro sobre um verde-claro de vestido.  Toda a vida social jaz a meus olhos.  Para além disto pressinto os amores, as secrecias, a alma, de todos quantos trabalharam para que esta mulher que está diante de mim no eléctrico use, em torno do seu pescoço mortal, a banalidade sinuosa de um retrós de seda verde-escura fazenda verde menos escura.  Entonteço. Os bancos do eléctrico, de um entretecido de palha forte e pequena, levam-me a regiões distantes, multiplicam-se-me em indústrias, operários, casas de operários, vidas, realidades, tudo.   Saio do carro exausto e sonâmbulo. Vivi a vida inteira.
",,prose
7,Fernando Pessoa,Tens uns brincos sem valia,"
Tens uns brincos sem valia

Tens uns brincos sem valia
E um lenço que não é nada,
Mas quem dera ter o dia
De quem és a madrugada.
",s.d.,poem
8,Ricardo Reis,"Um conceito moderno do paganismo tende, por força, a concebê-lo...","
Um conceito moderno do paganismo tende, por força, a concebê-lo (?) mais no que tem de antagónico ao cristismo, do que no que tem de característico, independentemente de comparações. Se, porém, esse conceito do paganismo, por falso que fosse o método, tivesse por base uma apreciação justa das diferenças verdadeiras entre ele e o sistema cristão, pouco se haveria perdido com o método adoptado não ser o melhor. Infelizmente, os contrastadores dos dois tipos de mentalidade, por não compreenderem a primeira, buscaram-lhe um oposto falso, de onde não compreenderem a segunda.
É difícil a quem vive adentro dos sentimentos cristãos distinguir bem o que são esses sentimentos, destrinçar quais são cristãos, quais simplesmente humanos,
quais nem uma coisa nem outra, mas, por exemplo, modernos (se se tratar de um apreciador moderno) e devidos ao influxo das correntes características da nossa época.
Assim, na sua quase totalidade, os estudiosos modernos do paganismo interpretam o cristismo como uma religião triste, como se todo o cristismo fosse a vida monástica e todos os processos crististas a cela e o cilício! Contrapondo-lhe o paganismo, julgam, pois, que este é alegre e feliz. Interpretando o cristianismo como uma religião cheia do temor de Deus — e esquecendo que frequentemente é cheia do entusiasmo de Deus —, acham que o paganismo, seu contrário, é uma religião onde pouco se pensa em Deus, esquecendo que a antiguidade é mais ébria da superstição e da religião quotidiana que qualquer fase cristista. A Idade Média é pouco religiosa ao lado da absorvente preocupação do Além que distingue o paganismo. O pagão é muito mais escravo dos seus deuses que o cristão das suas divindades e dos seus santos.
Todo o historiador hoje sabe que a Idade Média foi mais alegre que a antiguidade pagã. E devia saber que o paganismo é hoje, para os mestres do seu estudo, uma época triste.
",1917?,prose
9,Fernando Pessoa,S. DÂMASO PORTUGUÊS,"
S. DÂMASO PORTUGUÊS 

1 .
Depois de se ter passado 
Os noventa mais vereis 
Vir aquele desejado 
Que há-de fundar novas leis.

2 .
Verá o Leão fatal 
Que de Portugal lhe vem 
O que lhe há-de fazer mal, 
Aquele escondido Rei.

3.
Aquela manhã chuvosa 
Com névoa muito escura 
Verá de Deus a figura 
Fazer Lisboa ditosa.

4.
Névoa já é levantada 
Lá junto do meio-dia; 
Haveis de a ver descoberta 
A oitava maravilha.
",s.d.,poem
